,TI,Group 16
0,1.0,0.0
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,2.0
52,1.0,2.0
53,1.0,2.0
54,1.0,2.0
55,1.0,2.0
56,1.0,2.0
57,1.0,2.0
58,1.0,2.0
59,1.0,2.0
60,1.0,2.0
61,1.0,2.0
62,1.0,2.0
63,1.0,2.0
64,1.0,2.0
65,1.0,2.0
66,1.0,2.0
67,1.0,2.0
68,1.0,2.0
69,1.0,3.0
70,1.0,3.0
71,1.0,3.0
72,1.0,3.0
73,1.0,3.0
74,1.0,3.0
75,1.0,3.0
76,1.0,3.0
77,1.0,3.0
78,1.0,3.0
79,1.0,3.0
80,1.0,3.0
81,1.0,3.0
82,1.0,3.0
83,1.0,3.0
84,1.0,3.0
85,1.0,3.0
86,1.0,3.0
87,1.0,3.0
88,1.0,3.0
89,1.0,3.0
90,1.0,3.0
91,2.0,3.0
92,2.0,3.0
93,2.0,3.0
94,2.0,3.0
95,2.0,3.0
96,2.0,3.0
97,2.0,3.0
98,2.0,3.0
99,2.0,3.0
100,2.0,3.0
101,2.0,3.0
102,2.0,3.0
103,2.0,3.0
104,2.0,3.0
105,2.0,3.0
106,2.0,3.0
107,2.0,3.0
108,2.0,3.0
109,2.0,3.0
110,2.0,3.0
111,2.0,3.0
112,2.0,3.0
113,2.0,3.0
114,2.0,3.0
115,2.0,3.0
116,2.0,3.0
117,2.0,3.0
118,2.0,3.0
119,2.0,3.0
120,2.0,3.0
121,2.0,3.0
122,2.0,3.0
123,2.0,3.0
124,2.0,3.0
125,2.0,3.0
126,2.0,3.0
127,2.0,3.0
128,2.0,3.0
129,2.0,3.0
130,2.0,3.0
131,2.0,3.0
132,2.0,3.0
133,2.0,3.0
134,2.0,3.0
135,2.0,3.0
136,2.0,3.0
137,2.0,3.0
138,2.0,3.0
139,2.0,3.0
140,2.0,3.0
141,2.0,3.0
142,2.0,3.0
143,2.0,3.0
144,2.0,3.0
145,2.0,3.0
146,2.0,3.0
147,2.0,3.0
148,2.0,3.0
149,2.0,3.0
150,2.0,3.0
151,2.0,3.0
152,2.0,3.0
153,2.0,3.0
154,2.0,3.0
155,2.0,3.0
156,2.0,3.0
157,2.0,3.0
158,2.0,3.0
159,2.0,3.0
160,2.0,3.0
161,2.0,3.0
162,2.0,3.0
163,2.0,3.0
164,2.0,3.0
165,2.0,3.0
166,2.0,3.0
167,2.0,3.0
168,2.0,3.0
169,2.0,3.0
170,2.0,3.0
171,2.0,3.0
172,2.0,3.0
173,2.0,3.0
174,2.0,3.0
175,2.0,3.0
176,2.0,3.0
177,2.0,3.0
178,2.0,3.0
179,2.0,3.0
180,2.0,3.0
181,2.0,3.0
182,2.0,3.0
183,2.0,3.0
184,2.0,3.0
185,2.0,3.0
186,2.0,3.0
187,2.0,3.0
188,2.0,3.0
189,2.0,3.0
190,2.0,3.0
191,2.0,3.0
192,2.0,3.0
193,2.0,3.0
194,2.0,3.0
195,2.0,3.0
196,2.0,3.0
197,2.0,3.0
198,2.0,3.0
199,2.0,3.0
200,2.0,3.0
201,2.0,3.0
202,2.0,3.0
203,2.0,3.0
204,2.0,3.0
205,2.0,3.0
206,2.0,3.0
207,2.0,3.0
208,2.0,3.0
209,2.0,3.0
210,2.0,3.0
211,2.0,3.0
212,2.0,3.0
213,2.0,3.0
214,2.0,3.0
215,2.0,3.0
216,2.0,3.0
217,2.0,3.0
218,2.0,3.0
219,2.0,3.0
220,2.0,3.0
221,2.0,3.0
222,2.0,3.0
223,2.0,3.0
224,2.0,3.0
225,2.0,3.0
226,2.0,3.0
227,2.0,3.0
228,2.0,3.0
229,2.0,3.0
230,2.0,3.0
231,2.0,3.0
232,2.0,3.0
233,2.0,3.0
234,2.0,3.0
235,2.0,3.0
236,2.0,3.0
237,2.0,3.0
238,2.0,3.0
239,2.0,3.0
240,2.0,3.0
241,2.0,3.0
242,2.0,3.0
243,2.0,3.0
244,2.0,3.0
245,2.0,3.0
246,2.0,3.0
247,2.0,3.0
248,2.0,3.0
249,2.0,3.0
250,2.0,3.0
251,2.0,3.0
252,2.0,3.0
253,2.0,3.0
254,2.0,3.0
255,2.0,3.0
256,2.0,3.0
257,2.0,3.0
258,2.0,3.0
259,2.0,3.0
260,2.0,3.0
261,2.0,3.0
262,2.0,3.0
263,2.0,3.0
264,2.0,3.0
265,2.0,3.0
266,2.0,3.0
267,2.0,3.0
268,2.0,3.0
269,2.0,3.0
270,2.0,3.0
271,2.0,3.0
272,2.0,3.0
273,2.0,3.0
274,2.0,3.0
275,2.0,3.0
276,2.0,3.0
277,2.0,3.0
278,2.0,3.0
279,2.0,3.0
280,2.0,3.0
281,2.0,3.0
282,2.0,3.0
283,2.0,3.0
284,2.0,3.0
285,2.0,3.0
286,2.0,3.0
287,2.0,3.0
288,2.0,3.0
289,2.0,3.0
290,2.0,3.0
291,2.0,3.0
292,2.0,3.0
293,2.0,3.0
294,2.0,3.0
295,2.0,3.0
296,2.0,3.0
297,2.0,3.0
298,2.0,3.0
299,2.0,3.0
300,2.0,3.0
301,2.0,3.0
302,2.0,3.0
303,2.0,3.0
304,2.0,3.0
305,2.0,3.0
306,2.0,3.0
307,2.0,3.0
308,2.0,3.0
309,2.0,3.0
310,2.0,3.0
311,2.0,3.0
312,2.0,3.0
313,2.0,3.0
314,2.0,3.0
315,2.0,3.0
316,2.0,3.0
317,2.0,3.0
318,2.0,3.0
319,2.0,3.0
320,2.0,3.0
321,2.0,3.0
322,2.0,3.0
323,2.0,3.0
324,2.0,3.0
325,2.0,3.0
326,2.0,3.0
327,2.0,3.0
328,1.0,3.0
329,1.0,3.0
330,1.0,3.0
331,1.0,3.0
332,1.0,3.0
333,1.0,3.0
334,1.0,3.0
335,1.0,3.0
336,1.0,3.0
337,1.0,3.0
338,1.0,3.0
339,1.0,3.0
340,1.0,3.0
341,1.0,3.0
342,1.0,3.0
343,1.0,3.0
344,1.0,3.0
345,1.0,3.0
346,1.0,3.0
347,1.0,3.0
348,1.0,3.0
349,1.0,3.0
350,1.0,3.0
351,1.0,3.0
352,1.0,3.0
353,1.0,3.0
354,1.0,3.0
355,1.0,3.0
356,1.0,3.0
357,1.0,3.0
358,1.0,3.0
359,1.0,3.0
360,1.0,3.0
361,1.0,3.0
362,1.0,3.0
363,1.0,3.0
364,1.0,3.0
365,1.0,3.0
366,1.0,3.0
367,1.0,3.0
368,1.0,3.0
369,1.0,3.0
370,1.0,3.0
371,1.0,3.0
372,1.0,3.0
373,1.0,3.0
374,1.0,3.0
375,1.0,3.0
376,1.0,3.0
377,1.0,3.0
378,1.0,3.0
379,1.0,3.0
380,1.0,3.0
381,1.0,3.0
382,1.0,3.0
383,1.0,3.0
384,1.0,3.0
385,1.0,3.0
386,1.0,3.0
387,1.0,3.0
388,1.0,3.0
389,1.0,3.0
390,1.0,3.0
391,1.0,3.0
392,1.0,3.0
393,1.0,3.0
394,1.0,3.0
395,1.0,3.0
396,1.0,3.0
397,1.0,3.0
398,1.0,3.0
399,1.0,3.0
400,1.0,3.0
401,1.0,3.0
402,1.0,3.0
403,1.0,3.0
404,1.0,3.0
405,1.0,3.0
406,1.0,3.0
407,1.0,3.0
408,1.0,3.0
409,1.0,3.0
410,1.0,3.0
411,1.0,3.0
412,1.0,3.0
413,1.0,3.0
414,1.0,3.0
415,1.0,3.0
416,1.0,3.0
417,1.0,3.0
418,1.0,3.0
419,1.0,3.0
420,1.0,3.0
421,1.0,3.0
422,1.0,3.0
423,1.0,3.0
424,1.0,3.0
425,1.0,3.0
426,1.0,3.0
427,1.0,3.0
428,1.0,3.0
429,1.0,3.0
430,1.0,3.0
431,1.0,3.0
432,1.0,3.0
433,1.0,3.0
434,1.0,3.0
435,1.0,3.0
436,1.0,3.0
437,1.0,3.0
438,1.0,3.0
439,1.0,3.0
440,1.0,3.0
441,1.0,3.0
442,1.0,3.0
443,1.0,3.0
444,1.0,3.0
445,1.0,3.0
446,1.0,3.0
447,1.0,3.0
448,1.0,3.0
449,1.0,3.0
450,1.0,3.0
451,1.0,3.0
452,1.0,3.0
453,1.0,3.0
454,1.0,3.0
455,1.0,3.0
456,1.0,3.0
457,1.0,3.0
458,1.0,3.0
459,1.0,3.0
460,1.0,3.0
461,1.0,3.0
462,1.0,3.0
463,1.0,3.0
464,1.0,3.0
465,1.0,3.0
466,1.0,3.0
467,1.0,3.0
468,1.0,3.0
469,1.0,3.0
470,1.0,3.0
471,1.0,3.0
472,1.0,3.0
473,1.0,3.0
474,1.0,3.0
475,1.0,3.0
476,1.0,3.0
477,1.0,3.0
478,1.0,3.0
479,1.0,3.0
480,2.0,3.0
481,2.0,3.0
482,2.0,3.0
483,2.0,3.0
484,2.0,3.0
485,2.0,3.0
486,2.0,3.0
487,2.0,3.0
488,2.0,3.0
489,2.0,3.0
490,2.0,3.0
491,2.0,3.0
492,2.0,3.0
493,2.0,3.0
494,2.0,3.0
495,2.0,3.0
496,2.0,3.0
497,2.0,3.0
498,2.0,3.0
499,2.0,3.0
500,2.0,3.0
501,2.0,3.0
502,2.0,3.0
503,2.0,3.0
504,2.0,3.0
505,2.0,3.0
506,2.0,3.0
507,2.0,3.0
508,2.0,3.0
509,2.0,3.0
510,2.0,3.0
511,2.0,3.0
512,2.0,3.0
513,2.0,3.0
514,2.0,3.0
515,2.0,3.0
516,2.0,3.0
517,2.0,3.0
518,2.0,3.0
519,2.0,3.0
520,2.0,3.0
521,2.0,3.0
522,2.0,3.0
523,2.0,3.0
524,2.0,3.0
525,2.0,3.0
526,2.0,3.0
527,2.0,3.0
528,2.0,3.0
529,2.0,3.0
530,2.0,3.0
531,3.0,3.0
532,3.0,3.0
533,3.0,3.0
534,3.0,3.0
535,3.0,3.0
536,3.0,3.0
537,3.0,3.0
538,3.0,3.0
539,3.0,3.0
540,3.0,3.0
541,3.0,3.0
542,3.0,3.0
543,3.0,3.0
544,3.0,3.0
545,3.0,3.0
546,3.0,3.0
547,3.0,3.0
548,3.0,3.0
549,3.0,3.0
550,3.0,3.0
551,3.0,3.0
552,3.0,3.0
553,3.0,3.0
554,3.0,3.0
555,3.0,3.0
556,3.0,3.0
557,3.0,3.0
558,3.0,3.0
559,3.0,3.0
560,3.0,3.0
561,3.0,3.0
562,3.0,3.0
563,3.0,3.0
564,3.0,3.0
565,3.0,3.0
566,3.0,3.0
567,3.0,3.0
568,3.0,3.0
569,3.0,3.0
570,3.0,3.0
571,3.0,3.0
572,3.0,3.0
573,3.0,3.0
574,3.0,3.0
575,3.0,3.0
576,3.0,3.0
577,3.0,3.0
578,3.0,3.0
579,3.0,3.0
580,3.0,3.0
581,3.0,3.0
582,3.0,3.0
583,3.0,3.0
584,3.0,3.0
585,3.0,3.0
586,3.0,3.0
587,3.0,3.0
588,3.0,3.0
589,3.0,3.0
590,3.0,3.0
591,3.0,3.0
592,3.0,3.0
593,3.0,3.0
594,3.0,3.0
595,3.0,3.0
596,3.0,3.0
597,3.0,3.0
598,3.0,3.0
599,3.0,3.0
