,maxDistance,minClusterSize,Accuracy
0,0.1,20,22.367
1,0.15,18,37.3828125
2,0.2,17,58.0546875
3,0.25,17,60.5703125
4,0.3,15,65.64453125
5,0.35,12,67.109375
6,0.4,13,75.01171875
7,0.45,10,69.57421875
8,0.5,12,63.74609375
9,0.55,10,75.2138
10,0.6,13,90.625
11,0.65,11,91.40625
12,0.7,10,86.42578125
13,0.75,10,92.08984375
14,0.8,10,96.3828125
15,0.85,8,85.44921875
16,0.9,6,92.7734375
17,0.95,8,88.06640625
18,1,4,83.49609375
19,1.05,5,72.359375
20,1.1,2,67.87109375
21,1.15,2,32.421875
22,1.2,5,43.015625
23,1.25,6,55.4453125
24,1.3,2,39.265625
25,1.35,3,29.8125
26,1.4,2,35.47265625
27,1.45,2,25.5703125
